公司,Data Field,2015/12/31,2016/12/30,2017/12/29
3268 海德威,資產總額,"807,003","995,152","951,018"
3272 東碩,資產總額,"2,718,074","3,147,260","3,281,409"
3276 宇環,資產總額,"1,967,155","1,944,238","1,986,704"
3284 太普高,資產總額,"1,038,048","1,061,198","1,115,857"
3285 微端,資產總額,"940,854","1,017,910","999,629"
3287 廣寰科,資產總額,"616,812","577,221","508,458"
3288 點晶,資產總額,"610,954","470,394","261,057"
3289 宜特,資產總額,"3,869,732","5,149,129","9,000,773"
3290 東浦,資產總額,"3,283,931","3,046,601","3,242,466"
3293 鈊象,資產總額,"3,417,246","4,351,735","4,492,278"
3294 英濟,資產總額,"5,522,611","4,437,086","4,799,055"
3297 杭特,資產總額,"1,002,812","972,190","917,954"
3303 岱稜,資產總額,"3,071,055","2,822,474","2,884,070"
3306 鼎天,資產總額,"1,648,609","1,744,601","1,607,869"
3310 佳穎,資產總額,"3,874,020","4,783,976","4,877,874"
3313 斐成,資產總額,"1,720,846","1,203,212","1,006,343"
3317 尼克森,資產總額,"2,468,127","2,389,549","2,314,099"
3322 建舜電,資產總額,"2,194,618","2,198,305","2,111,371"
3323 加百裕,資產總額,"3,761,452","4,338,140","4,702,494"
3324 雙鴻,資產總額,"3,555,728","4,684,230","5,158,962"
3325 旭品,資產總額,"1,553,470","1,546,534","1,497,809"
3332 幸康,資產總額,"1,604,597","1,590,455","1,662,946"
3339 泰谷,資產總額,"2,357,672","1,766,071","1,420,343"
3354 律勝,資產總額,"1,488,909","1,408,397","1,553,797"
3360 尚立,資產總額,"4,069,653","4,491,942","2,285,493"
3362 先進光,資產總額,"1,944,709","2,080,335","2,253,338"
3363 上詮,資產總額,"1,675,237","1,684,574","1,634,249"
3372 典範,資產總額,"3,907,187","3,663,562","2,736,849"
3373 熱映,資產總額,"897,898","816,790","804,858"
3374 精材,資產總額,"8,519,213","8,434,276","8,202,652"
3379 彬台,資產總額,"986,318","946,334","859,894"
3388 崇越電,資產總額,"4,388,996","4,426,070","4,649,175"
3390 旭軟,資產總額,"1,572,751","1,511,309","1,743,083"
3402 漢科,資產總額,"3,164,779","3,304,016","3,152,301"
3426 台興,資產總額,"639,745","774,886","869,393"
3434 哲固,資產總額,"491,591","459,423","546,788"
3438 類比科,資產總額,"1,457,396","2,045,796","1,891,604"
3441 聯一光,資產總額,"1,183,365","1,130,339","1,032,302"
3444 利機,資產總額,"860,783","875,015","859,497"
3452 益通,資產總額,"7,814,855","6,977,624","3,947,465"
3455 由田,資產總額,"2,495,396","3,940,862","3,627,569"
3465 進泰電子,資產總額,"207,748","142,876","42,851"
3466 致振,資產總額,"2,118,900","2,176,807","2,016,191"
3479 安勤,資產總額,"3,000,160","3,260,315","3,339,218"
3483 力致,資產總額,"3,584,775","3,961,253","4,033,882"
3484 崧騰,資產總額,"3,104,350","3,648,126","3,628,472"
3489 森寶,資產總額,"2,747,291","3,195,290","3,532,261"
3490 單井,資產總額,"2,334,229","1,806,706","1,805,677"
3491 昇達科,資產總額,"2,420,871","2,329,896","2,544,677"
3492 長盛,資產總額,"951,818","988,245","967,855"
3498 陽程,資產總額,"5,138,482","4,491,135","4,185,908"
3499 環天科,資產總額,"873,384","966,727","1,022,138"
3508 位速,資產總額,"3,646,890","2,311,262","3,160,238"
3511 矽瑪,資產總額,"1,210,547","1,043,663","881,224"
3512 皇龍,資產總額,"1,419,237","1,208,440","2,176,476"
3516 亞帝歐,資產總額,"1,922,656","1,659,450","1,703,082"
3520 振維,資產總額,"818,714","782,212","736,335"
3521 鴻翊,資產總額,"824,256","995,318","1,411,223"
3522 御頂,資產總額,"1,948,452","1,759,940","2,573,854"
3523 迎輝,資產總額,"2,455,994","1,957,052","1,130,814"
3526 凡甲,資產總額,"1,919,472","2,413,688","2,495,823"
3527 聚積,資產總額,"1,927,559","2,295,606","2,582,218"
3529 力旺,資產總額,"2,035,473","2,198,672","2,401,070"
3531 先益,資產總額,"2,411,833","2,458,106","2,575,334"
3537 堡達,資產總額,"1,372,388","1,444,134","1,411,700"
3540 曜越,資產總額,"2,317,789","2,633,808","2,824,833"
3541 西柏,資產總額,"1,298,051","1,648,488","1,843,299"
3546 宇峻,資產總額,"962,735","1,226,789","1,354,347"
3548 兆利,資產總額,"4,659,234","5,781,771","5,934,012"
3551 世禾,資產總額,"3,323,007","3,543,560","3,651,256"
3552 同致,資產總額,"8,384,405","9,646,961","9,588,464"
3555 重鵬,資產總額,"141,992","452,627","474,415"
3556 禾瑞亞,資產總額,"1,527,107","1,510,150","1,457,826"
3558 神準,資產總額,"4,896,760","5,210,695","6,531,680"
3562 頂晶科,資產總額,"358,187","234,884","559,846"
3564 其陽,資產總額,"1,096,395","1,040,334","1,166,462"
3567 逸昌,資產總額,"532,957","635,913","676,367"
3570 大塚,資產總額,"714,293","668,639","632,318"
3577 泓格,資產總額,"1,134,201","1,192,155","1,220,126"
3580 友威科,資產總額,"941,703","947,170","1,248,514"
3581 博磊,資產總額,"970,628","1,586,345","1,584,460"
3587 閎康,資產總額,"1,628,592","2,442,019","3,304,188"
3594 磐儀,資產總額,"2,143,005","2,462,386","2,686,151"
3609 東林,資產總額,"1,042,266","910,793","849,706"
3611 鼎翰,資產總額,"4,084,402","4,809,014","5,441,543"
3615 安可,資產總額,"3,110,387","3,165,012","3,101,126"
3623 富晶通,資產總額,"1,164,732","923,844","799,665"
3624 光頡,資產總額,"3,400,996","3,032,039","3,036,727"
3625 西勝,資產總額,"1,236,388","1,402,126","1,896,434"
3628 盈正,資產總額,"2,932,828","2,883,619","2,749,316"
3629 地心引力,資產總額,"245,921","173,125","102,071"
3630 新鉅科,資產總額,"3,961,858","3,020,843","3,336,375"
3631 晟楠,資產總額,"2,021,381","1,857,165","1,980,264"
3632 研勤,資產總額,"1,100,416","1,124,032","1,189,243"
3642 駿熠電,資產總額,"921,854","754,674","655,556"
3646 艾恩特,資產總額,"662,987","632,863","615,280"
3652 精聯,資產總額,"1,645,019","1,779,354","1,641,418"
3663 鑫科,資產總額,"1,740,698","1,519,048","1,265,943"
3664 安瑞-KY,資產總額,"1,750,069","1,487,670","1,055,734"
3666 光耀,資產總額,"1,332,308","1,377,141","1,346,938"
3672 康聯訊,資產總額,"660,145","663,307","686,884"
3675 德微,資產總額,"1,152,616","1,277,685","1,341,180"
3680 家登,資產總額,"3,210,401","3,604,942","3,685,524"
3684 榮昌,資產總額,"607,568","604,430","798,719"
3685 元創精密,資產總額,"1,397,134","1,517,763","2,055,925"
3687 歐買尬,資產總額,"2,443,729","2,733,952","2,818,849"
3689 湧德,資產總額,"4,534,137","4,490,094","4,905,171"
3691 碩禾,資產總額,"15,452,257","18,483,328","19,583,692"
3693 營邦,資產總額,"3,021,561","2,971,133","2,734,358"
3707 漢磊,資產總額,"4,260,070","5,765,219","7,043,371"
3709 鑫聯大投控,資產總額,,,"4,035,833"
3710 連展投控,資產總額,,,"7,970,804"
4102 永日,資產總額,"646,530","553,569","551,137"
4105 東洋,資產總額,"8,824,940","9,290,305","9,507,067"
4107 邦特,資產總額,"2,503,780","2,563,755","2,621,470"
4109 加捷生醫,資產總額,"1,579,078","1,647,451","1,321,175"
4111 濟生,資產總額,"1,449,674","1,433,282","1,481,915"
4113 聯上,資產總額,"7,047,415","7,388,080","7,778,286"
4114 健喬,資產總額,"4,592,743","6,789,348","7,503,729"
4116 明基醫,資產總額,"1,403,224","1,372,392","1,543,077"
4120 友華,資產總額,"5,474,417","6,486,229","6,653,719"
4121 優盛,資產總額,"2,544,308","2,202,743","2,412,196"
4123 晟德,資產總額,"27,912,916","30,354,938","38,299,828"
4126 太醫,資產總額,"2,676,200","3,321,068","3,638,671"
4127 天良,資產總額,"1,499,946","1,394,451","924,051"
4128 中天,資產總額,"9,832,917","9,256,653","9,160,449"
4129 聯合,資產總額,"2,593,234","2,955,765","4,295,411"
4130 健亞,資產總額,"2,517,262","2,646,322","2,041,732"
4131 晶宇,資產總額,"171,469","169,927","121,370"
4138 曜亞,資產總額,"2,165,234","2,269,251","2,310,215"
4139 馬光-KY,資產總額,"1,257,059","1,069,067","1,079,324"
4147 中裕,資產總額,"4,926,437","4,801,776","4,502,962"
4152 台微體,資產總額,"2,744,871","2,098,906","1,262,539"
4153 鈺緯,資產總額,"1,713,385","1,450,930","1,061,592"
4154 康樂-KY,資產總額,"321,384","379,242","301,391"
4157 太景*-KY,資產總額,"625,463","823,447","1,522,175"
4160 創源,資產總額,"380,657","382,392","380,714"
4161 聿新科,資產總額,"1,445,063","1,515,888","1,565,499"
4162 智擎,資產總額,"3,238,582","3,959,261","4,110,931"
4163 鐿鈦,資產總額,"2,301,123","2,826,274","2,813,679"
4167 展旺,資產總額,"3,245,194","3,436,648","3,947,541"
4168 醣聯,資產總額,"2,185,988","2,036,547","1,866,435"
4171 瑞基,資產總額,"510,862","554,400","602,838"
4173 久裕,資產總額,"6,018,937","6,793,459","5,330,699"
4174 浩鼎,資產總額,"7,310,996","6,328,077","5,190,029"
4175 杏一,資產總額,"1,774,938","2,311,205","2,903,536"
4183 福永生技,資產總額,"338,976","389,264","398,253"
4188 安克,資產總額,"382,302","756,064","699,731"
4192 杏國,資產總額,"1,027,267","1,114,813","845,889"
4198 環瑞醫,資產總額,"1,749,022","1,257,072","785,244"
4205 中華食,資產總額,"1,503,365","1,600,777","1,770,987"
4207 環泰,資產總額,"4,279,295","4,378,409","4,538,166"
4303 信立,資產總額,"1,036,907","1,024,221","1,899,020"
4304 勝昱,資產總額,"782,977","728,692","658,311"
4305 世坤,資產總額,"1,131,865","1,167,067","1,184,632"
4401 東隆興,資產總額,"4,776,891","4,787,978","5,305,189"
4402 福大,資產總額,"1,174,708","976,790","1,133,826"
4406 新昕纖,資產總額,"713,309","726,115","808,240"
4413 飛寶企業,資產總額,"59,464","63,419","188,717"
4415 台原藥,資產總額,"90,081","74,450","23,443"
4416 三圓,資產總額,"6,947,625","8,755,996","12,743,344"
4417 金洲,資產總額,"3,594,180","3,683,269","3,984,045"
4419 元勝,資產總額,"175,517","182,221","140,335"
4420 光明,資產總額,"960,462","1,054,721","1,230,459"
4429 聚紡,資產總額,"1,371,167","1,323,559","1,244,743"
4430 耀億,資產總額,"2,867,456","2,883,262","2,864,344"
4432 銘旺實,資產總額,"1,950,568","1,834,818","1,704,566"
4433 興采,資產總額,"1,113,949","1,450,995","1,609,049"
4502 健信,資產總額,"2,316,732","2,209,434","2,161,361"
4503 金雨,資產總額,"394,174","391,913","539,372"
4506 崇友,資產總額,"6,802,845","6,208,600","6,045,160"
4510 高鋒,資產總額,"4,182,238","4,407,347","5,116,743"
4513 福裕,資產總額,"2,917,582","2,432,350","2,643,113"
4523 永彰,資產總額,"2,885,746","2,915,519","2,744,627"
4527 方土霖,資產總額,"2,199,018","2,402,217","2,387,791"
4528 江興鍛,資產總額,"3,176,714","3,283,879","3,829,535"
4529 淳紳,資產總額,"5,532,283","2,326,757","1,918,479"
4530 宏易,資產總額,"384,860","347,573","334,503"
4533 協易機,資產總額,"5,779,679","5,831,244","5,803,573"
4534 慶騰,資產總額,"1,765,684","2,492,171","2,277,256"
4535 至興,資產總額,"3,250,119","3,171,341","3,137,681"
4538 大詠城,資產總額,"809,136","761,973","853,136"
4541 晟田,資產總額,"2,880,291","2,952,106","2,993,429"
4542 科嶠,資產總額,"763,114","731,031","911,649"
4543 萬在,資產總額,"1,953,960","1,965,916","1,985,206"
4549 桓達,資產總額,"1,426,336","1,474,199","1,560,670"
4550 長佳,資產總額,"1,476,774","1,808,125","1,690,823"
4554 橙的,資產總額,"512,670","642,797","571,555"
4556 旭然,資產總額,"887,307","996,977","1,015,151"
4561 健椿,資產總額,"1,402,648","1,515,270","1,636,618"
4563 百德,資產總額,"2,466,726","2,302,779","2,160,298"
4568 科際精密,資產總額,"698,153","1,232,733","1,400,177"
4609 唐鋒,資產總額,"868,138","805,352","830,734"
4702 中美實,資產總額,"3,902,206","2,893,361","1,929,884"
4706 大恭,資產總額,"1,756,129","1,816,373","1,703,054"
4707 磐亞,資產總額,"6,252,648","6,501,289","7,044,672"
4711 永純,資產總額,"1,405,189","1,487,752","1,501,954"
4712 南璋,資產總額,"623,043","727,902","499,006"
4714 永捷,資產總額,"1,172,636","1,254,901","1,472,896"
4716 大立,資產總額,"1,145,600","1,164,384","1,332,124"
4721 美琪瑪,資產總額,"1,679,966","1,694,072","2,295,972"
4726 永昕,資產總額,"1,518,386","1,389,348","1,312,799"
4728 雙美,資產總額,"602,573","597,488","660,920"
4729 熒茂,資產總額,"4,599,956","5,131,167","4,432,476"
4735 豪展,資產總額,"782,039","825,260","982,279"
4736 泰博,資產總額,"4,337,644","5,067,265","6,064,680"
4741 泓瀚,資產總額,"1,211,837","1,122,214","1,141,327"
4743 合一,資產總額,"2,807,303","2,555,655","2,521,393"
4744 皇將,資產總額,"1,101,456","1,570,707","1,398,630"
4745 合富-KY,資產總額,"3,647,667","3,411,635","3,630,563"
4747 強生,資產總額,"917,566","955,501","931,074"
4754 國碳科,資產總額,"341,585","419,676","439,260"
4760 勤凱,資產總額,"502,981","598,095","698,028"
4767 誠泰科技,資產總額,"1,184,817","1,239,126","1,166,804"
4803 VHQ-KY,資產總額,"1,395,611","2,542,809","2,356,630"
4804 大略-KY,資產總額,"1,082,010","1,145,662","1,400,947"
4806 昇華,資產總額,"1,081,026","1,404,654","1,454,203"
4903 聯光通,資產總額,"1,371,658","1,205,269","1,191,377"
4905 台聯電,資產總額,"4,355,134","3,339,587","4,062,926"
4907 富宇,資產總額,"4,158,138","4,669,501","3,025,792"
4908 前鼎,資產總額,"1,314,471","1,428,192","1,517,169"
4909 新復興,資產總額,"3,240,959","3,474,347","3,380,047"
4911 德英,資產總額,"893,877","848,073","788,788"
4924 欣厚-KY,資產總額,"615,210","502,044","458,162"
4931 新盛力,資產總額,"1,031,484","1,197,611","1,174,657"
4933 友輝,資產總額,"4,674,336","3,563,812","3,373,865"
4939 亞電,資產總額,"2,416,106","1,966,066","2,150,961"
4944 兆遠,資產總額,"5,573,052","4,825,589","3,998,004"
4946 辣椒,資產總額,"743,325","576,696","624,694"
4947 昂寶-KY,資產總額,"3,597,623","4,119,880","4,888,948"
4950 牧東,資產總額,"1,986,967","2,522,853","2,477,194"
4953 緯軟,資產總額,"1,852,061","1,794,336","1,874,581"
4966 譜瑞-KY,資產總額,"8,241,743","9,857,972","10,591,945"
4971 IET-KY,資產總額,"1,563,293","1,579,095","1,525,219"
4972 湯石照明,資產總額,"1,469,556","1,422,805","1,440,907"
4973 廣穎,資產總額,"2,421,068","2,187,610","2,848,318"
4974 亞泰,資產總額,"2,737,304","2,986,307","3,131,113"
4979 華星光,資產總額,"3,952,495","3,383,688","2,967,795"
4987 科誠,資產總額,"1,219,648","1,159,105","1,197,564"
4991 環宇-KY,資產總額,"2,653,367","2,886,807","2,981,355"
4995 晶達,資產總額,"996,607","1,111,373","1,247,295"
5009 榮剛,資產總額,"18,348,406","18,638,374","18,752,649"
5011 久陽,資產總額,"998,616","1,200,970","1,092,031"
5013 強新,資產總額,"4,732,900","5,693,252","6,363,861"
5014 建錩,資產總額,"7,092,597","8,160,912","8,039,371"
5015 華祺,資產總額,"1,615,358","1,652,126","1,897,569"
5016 松和,資產總額,"2,538,348","2,707,222","2,720,797"
5102 富強,資產總額,"1,297,551","1,251,682","1,259,873"
5201 凱衛,資產總額,"437,780","401,193","430,010"
5202 力新,資產總額,"586,002","595,792","657,829"
5205 中茂,資產總額,"49,364","104,792","37,086"
5206 坤悅,資產總額,"4,447,732","4,379,991","4,584,030"
5209 新鼎,資產總額,"1,171,175","1,153,260","1,452,304"
5210 寶碩,資產總額,"919,856","1,024,705","925,835"
5211 蒙恬,資產總額,"605,438","601,892","593,112"
5212 凌網,資產總額,"621,581","644,867","694,131"
5213 亞昕,資產總額,"25,352,495","25,811,572","27,744,248"
5220 萬達光電,資產總額,"789,821","853,684","873,473"
5223 安力-KY,資產總額,"2,255,003","2,262,230","2,143,144"
5227 立凱-KY,資產總額,"2,609,114","3,834,377","3,317,500"
5230 雷笛克光學,資產總額,"2,531,413","2,167,432","2,120,689"
5245 智晶,資產總額,"1,096,281","1,677,567","1,878,280"
5251 天鉞電,資產總額,"856,425","836,892","905,455"
5263 智崴,資產總額,"3,148,038","3,290,844","3,474,902"
5272 笙科,資產總額,"934,936","1,134,406","1,332,207"
5274 信驊,資產總額,"1,207,028","2,621,227","2,663,363"
5276 達輝-KY,資產總額,"852,249","867,254","726,539"
5278 尚凡,資產總額,"248,726","274,475","270,856"
5281 大峽谷-KY,資產總額,"1,072,510","1,123,899","1,723,475"
5287 數字,資產總額,"2,238,736","2,676,490","2,819,756"
5289 宜鼎,資產總額,"3,553,222","4,229,050","4,639,310"
5291 邑昇,資產總額,"1,192,708","1,207,548","1,300,357"
5299 杰力,資產總額,"561,035","651,872","827,624"
5301 寶得利,資產總額,"2,215,352","1,858,462","1,893,928"
5302 太欣,資產總額,"2,134,546","2,115,988","1,940,620"
5304 鼎創達,資產總額,"4,207,432","4,004,475","3,877,227"
5306 桂盟,資產總額,"6,968,826","8,564,860","10,071,572"
5309 系統電,資產總額,"3,878,476","2,907,471","2,316,604"
5310 天剛,資產總額,"1,069,758","978,526","1,002,151"
5312 寶島科,資產總額,"4,138,085","4,252,780","4,239,439"
5314 世紀,資產總額,"492,970","368,862","372,181"
5315 光聯,資產總額,"1,633,535","2,097,564","1,960,411"
5321 友銓,資產總額,"847,521","831,064","735,141"
5324 士開,資產總額,"2,582,433","3,512,595","3,159,746"
5328 華容,資產總額,"2,338,358","2,428,319","2,104,283"
5340 建榮,資產總額,"1,801,070","1,944,025","2,122,199"
5344 立衛,資產總額,"704,058","650,174","594,488"
5345 天揚,資產總額,"574,126","489,126","402,842"
5347 世界,資產總額,"32,384,241","34,980,042","34,298,324"
5348 系通,資產總額,"286,901","217,154","152,873"
5349 先豐,資產總額,"6,677,524","6,920,218","7,317,180"
5351 鈺創,資產總額,"8,249,446","8,127,342","7,543,598"
5353 台林,資產總額,"1,653,615","1,576,066","1,619,649"
5355 佳總,資產總額,"2,314,077","2,283,572","2,106,589"
5356 協益,資產總額,"8,120,849","7,578,005","6,936,986"
5364 力麗店,資產總額,"763,086","881,187","1,007,047"
5371 中光電,資產總額,"53,848,417","50,353,429","52,019,009"
5381 合正,資產總額,"628,799","536,171","811,779"
5383 金利,資產總額,"1,878,106","1,727,308","1,813,985"
5386 青雲,資產總額,"243,582","322,573","1,133,031"
5392 應華,資產總額,"11,382,178","14,223,684","14,001,591"
5398 慕康生醫,資產總額,"343,085","769,128","777,577"
5403 中菲,資產總額,"2,723,794","2,759,504","2,689,420"
5410 國眾,資產總額,"2,035,579","1,861,651","2,146,681"
5425 台半,資產總額,"10,747,764","11,118,526","11,610,210"
5426 振發,資產總額,"2,836,068","2,835,419","3,043,164"
5432 達威,資產總額,"313,426","304,194","278,047"
5438 東友,資產總額,"2,936,264","2,790,924","2,821,331"
5439 高技,資產總額,"1,825,430","1,955,569","2,217,688"
5443 均豪,資產總額,"4,898,467","6,250,214","6,224,706"
5450 寶聯通,資產總額,"935,356","894,577","924,784"
5452 佶優,資產總額,"4,144,949","3,757,305","3,941,942"
5455 昇益,資產總額,"129,482","247,026","799,030"
5457 宣德,資產總額,"3,765,298","4,706,737","4,706,068"
5460 同協,資產總額,"1,308,928","1,218,575","1,194,592"
5464 霖宏,資產總額,"3,064,995","3,307,643","3,529,413"
5465 富驊,資產總額,"3,043,828","2,203,819","2,497,511"
5468 凱鈺,資產總額,"529,420","530,104","445,057"
5474 聰泰,資產總額,"937,083","1,064,754","1,129,335"
5475 德宏,資產總額,"5,592,979","4,087,469","3,818,465"
5478 智冠,資產總額,"10,341,246","11,300,890","11,307,386"
5481 新華,資產總額,"1,098,841","1,148,347","1,117,359"
5483 中美晶,資產總額,"46,186,336","83,014,408","89,342,533"
5487 通泰,資產總額,"579,461","597,569","588,587"
5488 松普,資產總額,"1,616,700","1,537,813","1,515,348"
5489 彩富,資產總額,"2,758,068","2,664,831","3,310,042"
5490 同亨,資產總額,"2,759,867","2,516,191","1,847,310"
5493 三聯,資產總額,"2,774,870","2,816,924","2,827,929"
5498 凱崴,資產總額,"2,724,868","2,848,013","2,953,754"
5508 永信建,資產總額,"6,043,793","6,157,216","7,077,852"
5511 德昌,資產總額,"6,556,007","6,444,422","8,349,338"
