證券代碼,Data Field,2013/6/28,2013/7/31,2013/8/30,2013/9/30,2013/10/31,2013/11/29,2013/12/31,2014/1/27,2014/2/27,2014/3/31,2014/4/30,2014/5/30,2014/6/30
8069 元太,月報酬率 %,-19.1141,-2.0175,0.2941,3.2256,-5.9658,-3.3232,2.1875,-0.9175,4.6296,4.1298,13.5976,-6.2342,6.1172
8069 元太,現股當沖比重,0,0,0,0,0,0,0,4.04,7.54,7.06,10.7,5.57,8.98
8076 伍豐,月報酬率 %,2.8733,7.6353,33.737,32.5162,23.7167,0.8296,2.469,-2.0081,26.2296,12.0131,-13.0435,15.0001,15.0164
8076 伍豐,現股當沖比重,0,0,0,0,0,0,0,3.82,0,7.11,7.29,7.32,12.88
8086 宏捷科,月報酬率 %,-22.2512,10.101,-10.3974,-4.7781,1.0751,-6.3829,3.7877,5.8394,21.3792,2.8407,13.8122,21.3591,11.6
8086 宏捷科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
8299 群聯,月報酬率 %,-3.5224,-9.1279,-2.6956,1.4284,-0.4695,-14.3868,4.9587,-0.2624,6.3157,-2.9702,4.5918,7.317,9.3184
8299 群聯,現股當沖比重,0,0,0,0,0,0,0,1.3,6.92,5.99,8.85,2.03,6.93
8358 金居,月報酬率 %,-2.9127,-0.6667,-0.2237,0.1122,-4.8152,-9.2941,8.3011,-5.1496,16.7932,-1.1891,0.6565,3.6955,16.3523
8358 金居,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
8406 金可-KY,月報酬率 %,-0.9786,8.4399,-5.3307,6.2139,2.5593,12.6559,-10.9179,-0.3554,5.526,-11.3178,-3.4285,9.2701,-6.6788
8406 金可-KY,現股當沖比重,0,0,0,0,0,0,0,4.52,10.65,15.57,4.94,9.65,2.19
8436 大江,月報酬率 %,3.3899,35.4641,1.3567,40.3229,-3.8315,-19.9204,3.9804,-7.177,-0.4125,4.5546,-9.208,-15.7032,31.9534
8436 大江,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0
8942 森鉅,月報酬率 %,-3.7879,3.3464,3.2379,-1.4127,9.9611,3.9074,6.8374,4.7999,31.2979,-2.5581,1.7898,0.4688,2.3335
8942 森鉅,現股當沖比重,0,0,0,0,0,0,0,1.1,5.81,6.18,11.25,6.9,6.29
