證券代碼,Data Field,2014/1/27,2014/2/27,2014/3/31,2014/4/30,2014/5/30,2014/6/30,2014/7/31,2014/8/29,2014/9/30,2014/10/31,2014/11/28,2014/12/31
3324 雙鴻,月報酬率 %,5.4424,26.0216,-9.7269,-6.2384,10.2824,-12.6143,-7.113,-2.5058,-11.0589,-9.5237,-13.4503,27.027
3324 雙鴻,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3529 力旺,月報酬率 %,18.4807,37.8206,61.2406,2.1635,34.5882,26.9232,-23.0591,3.2607,19.4737,-3.6711,7.0121,5.1284
3529 力旺,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3611 鼎翰,月報酬率 %,6.5463,12.0765,10.019,-15.8077,6.7346,20.4592,1.4546,-7.9288,-13.7082,-7.5357,0.4407,13.1578
3611 鼎翰,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
4107 邦特,月報酬率 %,-6.9552,15.6146,-2.1552,-4.4054,8.2949,8.5108,-11.2419,7.2939,-6.7511,3.3181,-2.7736,2.1022
4107 邦特,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
4123 晟德,月報酬率 %,-1.9354,13.3225,3.0479,2.9577,28.4542,34.1853,-5.5554,0.9875,0.4784,-12.381,6.6305,16.2083
4123 晟德,現股當沖比重,1.55,5.73,6.48,6.87,5.89,8.07,12.51,18.11,15.65,11.15,13.27,15.71
4162 智擎,月報酬率 %,8.9622,7.3592,-3.4275,5.428,33.4651,-6.5282,-20,-2.1824,11.5619,-11.0907,1.2271,16.9697
4162 智擎,現股當沖比重,7.83,4.21,14.31,22.46,25.66,18.49,29.63,33.78,28.08,28.37,25.03,19.62
4736 泰博,月報酬率 %,-4.2858,20.7598,2.9213,-2.6201,45.7401,-10.7693,-6.6084,-1.4492,-2.7451,-2.1169,-5.1494,27.5787
4736 泰博,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
4947 昂寶-KY,月報酬率 %,2.1819,5.694,12.7947,-18.2089,5.8395,-11.8966,-17.6126,-10.8123,8.3336,-18.7179,7.5708,0
4947 昂寶-KY,現股當沖比重,11.42,9.19,12.56,4.2,12.59,19.22,14.04,8.44,15.45,0,0,0
4966 譜瑞-KY,月報酬率 %,-7.2961,8.3335,7.0511,2.7943,33.7862,16.9814,-4.4669,-6.6475,-5.1894,-14.7928,5.2084,-2.6402
4966 譜瑞-KY,現股當沖比重,4.25,5.67,15.12,9.59,14.21,18.92,17.42,19.9,24.42,21.5,20.46,16.04
5263 智崴,月報酬率 %,55.0565,46.1959,32.5898,-0.7478,16.1957,-2.7552,-27.6666,-2.1496,15.6411,-17.6275,-4.4414,24.5071
5263 智崴,現股當沖比重,0,0,0,16.3,27.33,19.72,31.94,47.64,33.25,34.17,20.58,27.98
5274 信驊,月報酬率 %,4.2105,11.1112,20.909,-1.8797,2.8735,-0.3724,-11.215,1.7139,12.8206,-3.9256,10.9677,5.2327
5274 信驊,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
5289 宜鼎,月報酬率 %,4.7059,-1.8259,2.1459,4.622,6.5596,13.1907,8.2131,15.7959,-13.3006,-5.1136,4.0714,7.595
5289 宜鼎,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
5347 世界,月報酬率 %,-5.3675,33.5821,1.4524,-9.2511,12.8641,3.1181,-5.5995,0.2289,1.9432,2.3544,4.7096,9.4142
5347 世界,現股當沖比重,3.49,5.91,7.66,10.59,5.12,4.78,8.76,5.65,4.3,7.48,4.53,9.62
5371 中光電,月報酬率 %,-4.5841,7.6514,20.3307,-1.0991,-3.3334,-3.8796,7.175,10.8437,-1.3091,-6.9388,-4.6053,-1.1495
5371 中光電,現股當沖比重,0.66,6.86,3.05,3.2,1.46,2.24,1.58,3.27,2.51,3.7,0.88,6.71
5425 台半,月報酬率 %,1.7361,3.7543,20.5593,-9.4134,12.8013,-2.2697,1.4573,12.9887,-8.5289,-24.9999,-1.8018,16.6972
5425 台半,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
5457 宣德,月報酬率 %,24.9383,5.1384,-10.3383,1.048,28.4231,23.9096,-17.8619,-4.1272,-3.9736,-16.7243,9.5238,27.0321
5457 宣德,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
5483 中美晶,月報酬率 %,9.4676,2.1622,-5.9968,-5.2532,12.8713,-5.0875,-1.8448,-6.9099,-6.1856,3.2966,2.3404,14.969
5483 中美晶,現股當沖比重,4.91,12.12,11.29,4.85,8.99,6.41,12.1,8.95,10.09,6.61,3.69,5.15
5536 聖暉,月報酬率 %,-0.8299,5.8578,-1.1859,-7.1999,-9.9139,5.7418,-5.4408,-0.3152,-3.0559,-15.3263,4.7494,6.1274
5536 聖暉,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6121 新普,月報酬率 %,5.303,-1.7985,6.2271,8.2758,0.6368,17.0887,-7.7527,2.4391,-12.2025,0.339,7.4324,-0.9434
6121 新普,現股當沖比重,1.89,0.86,4.13,9.39,2.08,5.29,6.46,5.95,5.71,4.18,0.5,6.25
6147 頎邦,月報酬率 %,0.8537,9.6298,3.861,-4.0893,3.6822,-1.8691,-1.8988,6.8437,6.501,0.5386,2.8571,0.6945
6147 頎邦,現股當沖比重,4.49,3.87,4.98,4.9,3.23,2.8,8.31,3.62,5.55,5.34,3.4,6.89
6173 信昌電,月報酬率 %,1.4707,16.425,-1.6598,-7.5948,9.5894,4.9999,-7.5396,2.5753,-4.6023,-6.5791,1.878,8.7558
6173 信昌電,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6180 橘子,月報酬率 %,11.0001,2.8829,16.4622,8.2708,4.3056,1.1983,-15.1314,-5.3305,-2.5,-1.3676,0.5199,30.1724
6180 橘子,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6182 合晶,月報酬率 %,-2.4023,0.923,1.5244,-7.5075,-5.8442,2.4136,-4.3773,-7.0422,2.6516,-7.0109,-7.1428,33.5004
6182 合晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6188 廣明,月報酬率 %,21.9156,5.0599,-1.3939,-3.342,5.5851,4.5339,-6.1444,4.4323,-5.0397,-6.4246,0.8956,5.3256
6188 廣明,現股當沖比重,4.27,3.84,5.09,4.71,4.71,8.51,6.53,10.85,3.85,2.94,3.38,3.74
6238 勝麗,月報酬率 %,-0.2849,10.5714,3.8762,28.3582,16.2789,-0.6668,-13.4227,22.8685,-25.2367,13.9241,28.1481,10.9827
6238 勝麗,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6274 台燿,月報酬率 %,21.1794,-0.1802,1.4441,4.6261,-5.9525,-3.4357,8.0526,7.0244,-5.4055,-9.8215,3.5645,2.2946
6274 台燿,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6279 胡連,月報酬率 %,-4.1021,7.6299,1.7187,5.5966,9.5,6.8492,7.0163,2.1011,-6.1731,-6.5788,7.5117,-3.93
6279 胡連,現股當沖比重,0,0,0,0,0,0,4.89,4.74,10.22,4.04,3.36,9.66
6290 良維,月報酬率 %,3.5119,42.857,3.5001,-3.6232,-3.8849,-4.9544,1.6757,-8.9888,-8.0247,-9.5637,10.575,3.1878
6290 良維,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6462 神盾,月報酬率 %,0,0,0,0,0,121.3467,-43.3829,-14.3525,63.2297,-13.8203,-12.575,11.101
6462 神盾,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6488 環球晶,月報酬率 %,0,0,0,0,0,0,0,0,0,32.6667,6.7838,10.2441
6488 環球晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
8069 元太,月報酬率 %,-0.9175,4.6296,4.1298,13.5976,-6.2342,6.1172,-3.5088,-5.4544,-5.4943,-13.9536,-10.1351,9.7743
8069 元太,現股當沖比重,4.04,7.54,7.06,10.7,5.57,8.98,3.67,2.49,20.41,8.78,8.67,2.88
8076 伍豐,月報酬率 %,-2.0081,26.2296,12.0131,-13.0435,15.0001,15.0164,-15.6009,4.8485,-7.4975,-24.6577,5.4544,-1.7243
8076 伍豐,現股當沖比重,3.82,0,7.11,7.29,7.32,12.88,11.15,16.67,19.03,19.4,17.37,15.96
8086 宏捷科,月報酬率 %,5.8394,21.3792,2.8407,13.8122,21.3591,11.6,-10.0359,4.7807,-9.3155,13.6266,16.9742,31.2301
8086 宏捷科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
8299 群聯,月報酬率 %,-0.2624,6.3157,-2.9702,4.5918,7.317,9.3184,-3.4707,-2.6967,-2.0785,-3.3017,0.9757,5.7972
8299 群聯,現股當沖比重,1.3,6.92,5.99,8.85,2.03,6.93,5.83,5.67,3.45,6.42,2.59,1.16
8358 金居,月報酬率 %,-5.1496,16.7932,-1.1891,0.6565,3.6955,16.3523,-5.4053,-1.4287,-0.4831,-2.9126,-0.8,0.504
8358 金居,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
8406 金可-KY,月報酬率 %,-0.3554,5.526,-11.3178,-3.4285,9.2701,-6.6788,-14.3149,-4.691,-1.5606,-0.0002,-16.2197,-1.892
8406 金可-KY,現股當沖比重,4.52,10.65,15.57,4.94,9.65,2.19,9.32,13.52,5.05,11.45,20.78,14.92
8436 大江,月報酬率 %,-7.177,-0.4125,4.5546,-9.208,-15.7032,31.9534,-13.1945,-3.5387,-2.8532,6.4336,6.4389,1.4814
8436 大江,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
8942 森鉅,月報酬率 %,4.7999,31.2979,-2.5581,1.7898,0.4688,2.3335,-11.5711,-13.9658,6.3407,-2.2528,-1.1523,17.8755
8942 森鉅,現股當沖比重,1.1,5.81,6.18,11.25,6.9,6.29,13.23,1.59,4.09,15.57,2.57,6.47
